name,location,price_in_lakhs,area_in_sqft,bhk,has_rating
on request,perungalathur,86.58,1204,3,0
adhith residency,kovilambakkam,93.79,1218,3,0
orchid garden,old perungalathur,53.25,1024,2,0
smile house,"perumbur,  north",75.0,755,2,0
"potheri, kattankulathur, chennai south","potheri, kattankulathur",36.0,800,2,0
ramaniyam ocean dew,pallikaranai,140.0,1420,3,0
subiksham flat new,keelkattalai,66.0,943,2,0
new flat,ayanambakkam,56.11,968,2,0
rental income house,iyyappanthangal,114.99999999999999,800,5,0
alankar horizon,rajakilpakkam,73.46,1150,2,0
new flat,ambattur,58.91,1071,2,0
happy homes,"banu nagar, ambattur",85.38,1228,3,0
happy homes,"kallikuppam, ambattur",74.43,1149,3,0
happy homes,"banu nagar, ambattur",60.44,942,2,0
gandhi nagar,"kallikuppam, ambattur",70.0,1080,2,0
happy homes,"kallikuppam, ambattur",74.41,1150,3,0
happy homes,ambattur,59.49,860,2,0
happy homes,"kallikuppam, ambattur",86.11,1327,3,0
happy homes,"kallikuppam, ambattur",74.41,1149,3,0
happy homes,"kallikuppam, ambattur",59.49,858,2,0
happy homes,"kallikuppam, ambattur",74.41,1148,3,0
happy homes,"banu nagar, ambattur",79.44,1138,2,0
orchid gardens,tambaram,75.76,1458,3,0
lake vista's,pallikaranai,70.0,1000,2,0
ayana 95,ayanambakkam,110.00000000000001,1143,2,0
purva somerset house,"dy,  south",409.99999999999994,1968,3,1
new flat,ayanambakkam,83.49,1440,3,0
prabha homes blissful,madipakkam,118.0,1187,3,0
prabha homes blissful,"puzhuthivakkam, madipakkam",82.48,848,2,0
"mukesh keerthi homes,new",iyyappanthangal,56.1,951,2,0
new flat,ayanambakkam,57.95,1001,2,0
"sai mukesh keerthi,new flat",kattupakkam,69.9,1186,3,0
navins hanging gardens,valasaravakkam,135.0,1012,2,1
navins hanging gardens,valasaravakkam,187.0,1464,3,1
navganesh eminent,ayakapuram,50.08,795,2,0
residential apartment,pallikaranai,83.66,1287,3,0
jayam sri sai garden hill view,perumbakkam,87.0,900,2,0
"perumbakkam, chennai, chennai south",perumbakkam,96.5,900,3,0
sri sai garden,perumbakkam,110.00000000000001,1000,3,0
orchid garden,old perungalathur,70.67,1359,3,0
ramkhar homes's orchid,kolathur,78.68,1049,2,0
shriram park 63,perungalathur,148.0,1970,3,1
somerset,"dy,  south",420.0,2475,4,0
purva somerset house,"dy,  south",320.0,1890,3,1
happy homes,"kallikuppam, ambattur",74.41,1155,3,0
shriram park 63,perungalathur,129.0,1725,3,1
shriram park 63,perungalathur,138.0,1840,3,1
happy homes,"kallikuppam, ambattur",74.41,1151,3,0
tvh quadrant,adyar,450.0,2235,3,1
"gerugambakkam, chennai, chennai west",gerugambakkam,165.0,922,3,0
dharman's divine,"sankarapuram, sithalapakkam",57.48,1045,2,0
darman's divine,"sankarapuram, sithalapakkam",57.43,1045,2,0
pacifica pride towers,padur,89.0,1468,3,1
prestige bella vista,porur,140.0,1505,2,1
dra d elite,ganallur,112.00000000000001,1058,2,1
dharman's divine,"sankarapuram, sithalapakkam",57.89,1045,2,0
appaswamy habitat,siruseri,78.0,1244,2,0
new flats,kolathur,85.75,1203,3,0
new flats,kolathur,85.0,1203,3,0
dharman's divine,"sankarapuram, sithalapakkam",57.45,1045,2,0
dharman's divine,"sankarapuram, sithalapakkam",57.5,1045,2,0
dharman's divine,"sankarapuram, sithalapakkam",57.46,1045,2,0
dharmans's divine,"sankarapuram, sithalapakkam",57.55,1045,2,0
"kovur, chennai, chennai west",kovur,94.95,770,3,0
"kovur, chennai, chennai west",kovur,135.0,801,3,0
on request,"agaramthen, vandalur kelambakkam road",33.2,664,2,0
dharman's divine,"sankarapuram, sithalapakkam",57.3,1045,2,0
dharman's divine,"sankarapuram, sithalapakkam",57.57,1045,2,0
new flat,"kallikuppam, ambattur",61.15,882,2,0
new flat,ambattur,62.89,904,2,0
new flat,"kallikuppam, ambattur",61.12,881,2,0
metro star hi tech city,kundrathur,90.0,1030,2,0
new flat,ambattur,61.0,882,2,0
new flat,ayanambakkam,58.89,1072,2,0
