name,location,price_in_lakhs,area_in_sqft,bhk,has_rating
"gerugambakkam, chennai, chennai west",gerugambakkam,67.0,600,2,0
sangamithra avenue,guduvancheri,50.0,1050,2,0
"sterling bay, ecr, chennai","mahabalipuram, ecr",28.0,610,2,0
shanthi nagar,"krishna nagar extension, west tambaram",95.0,1297,3,0
"mugalivakkam, chennai, chennai west",mugalivakkam,120.0,1155,2,0
shanu flats,medavakkam,73.84,1241,3,0
shanu flats,medavakkam,61.88,1040,2,0
new flat,ambattur,51.95,1000,2,0
olympia opaline,navalur,120.0,1750,3,1
residential apartment,pallikaranai,47.7,852,2,0
sri sai garden,perumbakkam,83.62,1000,3,0
casagrand pavilion,"thalambur, omr",79.5,1050,2,1
new flat,valasaravakkam,45.23,521,1,0
new flat,ramapuram,96.9,969,2,0
new flat,valasaravakkam,76.55,881,2,0
new flat,valasaravakkam,45.24,520,1,0
on request,ponmar,35.0,700,2,0
prema,chitlapakkam,81.0,1248,3,0
"sudarshan flats, radha nagar",chromepet,60.0,801,2,0
jayam sri sai garden hill view,perumbakkam,73.21,950,2,0
plaza elite acres,perumbakkam,39.5,627,2,0
gemini aster,"thalambur, omr",49.9,980,2,1
srb smiley house,"ballard street, perambur",56.63,755,2,0
xs real en veedu phase 2,guduvancheri,19.9,472,1,0
sri sai ram apartment,porur gardens,66.0,816,2,0
"vaani garden , anbzhagan street , ambattur","vijayalakshmi puram, ambattur",53.0,838,2,0
vijayasree sanjeevi apartments,thoraipakkam,45.0,731,2,0
"vettuvankeni, ecr, chennai south","vettuvankeni, ecr",260.0,2300,4,0
ttm lotus avenue,ayappakkam,34.0,700,2,0
revolution one,padur,59.4,910,3,0
revolution one,padur,43.9,663,2,0
shirdi graha,west mambalam,88.0,1000,2,0
"red hills, chennai, chennai north",red hills,41.86,1000,2,0
"grt apartment, 3rd avenue","banu nagar, ambattur",47.0,841,2,0
olympia opaline,navalur,99.0,1710,3,1
new flat,kolathur,43.12,703,2,0
sangath apartment,velachery,66.0,897,2,0
ramaniyam magnum,"taramani, omr",130.0,1172,2,0
on request,choolaimedu,65.0,800,2,0
vijay raja exurb,"thiruporur, omr",25.0,515,2,1
"akshara apartment, nallathambi nagar","ranganathapuram, medavakkam",50.0,905,2,0
"ayanambakkam, chennai, chennai north",ayanambakkam,98.0,775,3,0
marutham breeze,"west tambaram,  south",40.0,986,2,0
halls towers,egmore,90.0,1300,3,0
ceebros sankalp,alwarpet,400.0,1860,3,0
new house,mangadu,58.0,580,2,0
vijay shanthi lotus pond,kelambakkam,51.0,1155,3,1
sri hari apartment,t nagar,55.0,750,2,0
shriram park 63,perungalathur,160.0,2135,4,1
fair field,kilpauk,209.0,1430,3,0
navganesh eden,"ayagapuram, ambattur",41.66,683,2,0
"purasaiwakkam, chennai, chennai central",purasaiwakkam,110.00000000000001,1197,6,0
"sembakkam, chennai, chennai south",sembakkam,190.0,1740,4,0
shriram park 63,perungalathur,85.13,1135,2,1
"iyyappanthangal, chennai, chennai west",iyyappanthangal,90.0,1270,3,0
orchid gardens,tambaram,70.76,1360,3,0
hiranandani sinovia,"egattur, omr",199.0,1740,3,0
"1st floor, karthick nest",t nagar,90.0,900,2,0
dwaraka flats,adambakkam,84.19,842,2,0
sri gajalakshmi apartment,"pattaravakkam, ambattur",24.0,520,1,0
srb ruby homes,perambur,74.0,987,2,0
"poonamallee, chennai, chennai west",poonamallee,56.5,500,2,0
urbando orion,adambakkam,138.0,1114,3,0
maharani maaligai,mogappair west,55.0,786,2,0
kanish villa,"kodambakkam, gst road",66.0,3600,2,0
vgk sai hardik,east tambaram,55.0,1228,2,0
g square synergy,perumbakkam,100.0,605,4,0
tower of adyar by nahar,adyar,330.0,2380,4,1
thachi arunachalam st,mylapore,65.0,550,2,0
jayam sri sai garden hill view,perumbakkam,97.0,1400,3,0
sri sai resident,perumbakkam,89.0,1000,3,0
madhav apartments,"balaji nagar, royapettah",90.0,750,2,0
jains brindavan,west mambalam,85.0,880,2,0
srb ruby home,perambur,80.63,1075,3,0
livehomes,kottivakkam,94.45,969,2,0
green house,ponniammanmedu,48.0,676,2,0
happy homes,kolathur,83.98,1119,3,0
livehomes,west mambalam,149.0,1076,3,0
"avadi, chennai, chennai north",avadi,36.4,800,2,0
"avadi, chennai, chennai north",avadi,54.9,1200,3,0
"kattupakkam, chennai, chennai west",kattupakkam,145.0,1140,3,0
excel vijay jagat,thoraipakkam,55.0,820,2,0
on request,medavakkam,62.99,1012,2,0
orchid garden,tambaram,75.85,1459,3,0
orchid garden,tambaram,53.24,1024,2,0
s c giri homes,korattur,47.0,1000,3,0
starwood towers 2.0,medavakkam,51.0,601,2,0
starwood towers 2.0,medavakkam,48.0,591,2,0
on request,adyar,350.0,1899,3,0
orchid park,tambaram,44.09,848,2,0
prema,chitlapakkam,62.0,959,2,0
shantiniketan vega,kelambakkam,35.0,777,2,0
"saligramam, arcot road, chennai west","saligramam, arcot road",265.0,2160,3,0
malles ahaana,pallikaranai,65.0,989,2,0
lake vista's,pallikaranai,120.0,2139,3,0
hansa avenue apartment,arumbakkam,63.0,723,2,0
jayam sri sai avenue annexe,navalur,75.23,1000,2,1
casagrand pavilion,"thalambur, omr",78.21,1000,3,1
alliance humming gardens,kelambakkam,160.0,1829,4,1
jayam sri sai dual avenue,navalur,83.0,900,3,0
prestige bella vista,porur,181.0,1990,3,1
prestige bella vista,porur,105.0,1166,2,1
mohan gihon,"senthurpuram, kattupakkam",59.0,1045,3,0
akila heights,east tambaram,125.0,1337,3,1
